Date,Track,RaceNumber,HorseNumber,HorseName,Weight,RSRLastRun,Barrier,Jockey,Odds,Trainer,RunsFromSpell,DaysSinceLastRun,LastStartFinishPosition,Distance,Age,Starts,FinishPosition,RSR
7/11/2023,Bunbury,2,8,Henry Has Spoken,54.5,71.91388896,5,Victora Corver,15,E D Philp,7,13,3,1705,4,15,1,72.5
7/11/2023,Bunbury,2,9,Prix D'Amour,53,59.10414263,7,Cassey Martinan,41,Jeremy Easthope,4,12,8,1705,4,8,9,59.36451598
7/11/2023,Bunbury,2,10,Cosmic Smile,56,53.31428534,3,Austin Galati,101,Raquel Reid,3,10,5,1705,4,3,8,61.92580614
7/11/2023,Bunbury,3,1,Super Snippy,56,67.22761686,8,Brayden Gaerth,3.099999905,Robert Gulberti,1,12,5,1116,4,6,4,67.0931902
7/11/2023,Bunbury,3,2,My Lovely Pet,58,67.98429609,6,J Whiting,11,L P Luciani,5,12,5,1116,4,11,8,60.5614693
7/11/2023,Bunbury,3,3,Run Rupi Run,58,62.2083329,12,Austin Galati,21,William Lewthwaite,2,11,8,1116,4,7,9,60.31505376
7/11/2023,Bunbury,3,4,Nitronic,58,62.83846174,10,Alan Kennedy,12,T W Crosby,0,282,7,1116,5,7,3,68.93960573
7/11/2023,Bunbury,3,5,Zing To Win,56,51.77500052,2,Lucy Warwick,7,D & B Pearce,1,27,9,1116,3,3,1,73.5
7/11/2023,Bunbury,3,6,Chewing The Fat,57,49.87500026,4,P Harvey,61,G A Crispin,1,27,10,1116,3,2,11,53.60107621
7/11/2023,Bunbury,3,7,More Than Enuff,56,NULL,5,J Brown,6.5,S J Miller,0,NULL,NULL,1116,3,0,2,68.32526905
7/11/2023,Bunbury,3,8,One Above All,56,NULL,3,Ms K Yuill,4.400000095,M L Lane,0,NULL,NULL,1116,3,0,10,57.72939045
7/11/2023,Bunbury,3,9,Reindeer Games,56,NULL,9,Kristy Bennett,151,Ms K Farrell,0,NULL,NULL,1116,4,0,12,42.2051976
7/11/2023,Bunbury,3,10,Lucky Lily,52.5,65.99873634,1,Victora Corver,19,Michelle Hagley,1,12,8,1116,3,1,5,63.06111135
7/11/2023,Bunbury,3,11,Five Rules,54,NULL,11,Jade Mc Naught,31,Brandon Fiore,0,NULL,NULL,1116,3,0,7,59.0863804
7/11/2023,Bunbury,3,12,Lead By Example,51,NULL,7,Cassey Martinan,19,Jeremy Easthope,0,NULL,NULL,1116,3,0,6,60.87544803
7/11/2023,Bunbury,4,1,Cohen's Pan,58,55.56666737,3,Kristy Bennett,101,Ms M J Midgley,0,124,11,1420,5,18,14,25.65563233
7/11/2023,Bunbury,4,2,Speak To Me,58,71.6347518,12,Alan Kennedy,3.5,P J Giadresco,1,12,3,1420,4,4,1,79.3
7/11/2023,Bunbury,4,3,Authorative,56,69.87943258,10,Brayden Gaerth,13,Michael Grantham,1,12,5,1420,4,4,10,62.01337954
7/11/2023,Bunbury,4,4,Manganui,58,56.94079375,8,P Harvey,7,Ms A King,1,12,7,1420,4,4,3,74.07112667
7/11/2023,Bunbury,4,5,Alnaud,58,62.32187484,4,J Brown,51,Kirryn Scallan,0,181,6,1420,5,6,11,62.45140882
7/11/2023,Bunbury,4,7,Molly Magee,56,65.45,14,,41,G A Crispin,2,20,10,1420,7,22,4,69.56619755
7/11/2023,Bunbury,4,8,Mining Legend,56,67.24893617,1,Austin Galati,6,S J Miller,2,12,6,1420,3,5,9,64.14366197
7/11/2023,Bunbury,4,9,Hot Rhumba,53,59.99285696,13,Ava Catarino,61,T W Crosby,3,10,3,1420,5,10,8,65.03591512
7/11/2023,Bunbury,4,10,Ciao Bloomy,56,72.74999989,5,J Whiting,3.900000095,Ms S Bakranich,1,11,3,1420,4,4,2,73.82676056
7/11/2023,Bunbury,4,11,Champ La Dane,56,55.25177231,2,Jade Mc Naught,31,Ms S L Miller,3,12,10,1420,4,4,6,68.01690141
7/11/2023,Bunbury,4,12,Mon Mon,53,50.99078089,11,Cassey Martinan,151,Ms M J Midgley,3,12,13,1420,4,6,13,51.67323981
7/11/2023,Bunbury,4,13,Miss Graphene,56,70.49166678,6,Ms K Yuill,7,D & B Pearce,1,20,8,1420,4,1,7,67.82323962
7/11/2023,Bunbury,4,14,Rocking Society,56,NULL,7,Lucy Warwick,15,J F Miller,0,NULL,NULL,1420,3,0,5,68.2105632
7/11/2023,Bunbury,4,15,The Big Galoot,56.5,57.89259904,9,Victora Corver,101,Dom Celisano,1,12,8,1420,5,4,12,58.34647924
7/11/2023,Bunbury,5,1,Red Dwarf,60,59.90000075,1,Alan Kennedy,17,Dom Celisano,8,17,11,1705,8,19,6,74.54516098
7/11/2023,Bunbury,5,2,Arcadia Star,56.5,70.81597664,8,Brayden Gaerth,6.5,Michael Grantham,2,12,9,1705,4,11,5,72.06774209
7/11/2023,Bunbury,5,3,I Love Your Smile,58.5,84.55000007,2,Lucy Warwick,1.950000048,Brandon Fiore,0,115,4,1705,4,11,1,82.7
